Handle;Main language;Type;# tweets;Start;Followers;;;;;
AtheistRepublic;English;Non-religious;109001;2011;138001;;;;;
AmericanAtheist;English;Non-religious;24138;2008;135524;;;;;
HumanistReport;English;Non-religious;29030;2015;119528;;;;;
Humanists_UK;English;Non-religious;56864;2009;109131;;;;;
ThinkAtheist;English;Non-religious;71968;2008;91627;;;;;
americnhumanist;English;Non-religious;18246;2009;73762;;;;;
ThinkingAtheist;English;Non-religious;13092;2010;70264;;;;;
center4inquiry;English;Non-religious;64133;2009;64133;;;;;
seculardotorg;English;Non-religious;27620;2009;56412;;;;;
AtheistQOTD;English;Non-religious;5018;2007;51681;;;;;
AtheistWorld;English;Non-religious;39975;2010;47004;;;;;
atheistalliance;English;Non-religious;24077;2009;39721;;;;;
NewHumanist;English;Non-religious;3524;2009;32753;;;;;
stlatheists01;English;Non-religious;17207;2017;31994;;;;;
SecularUndergro;English;Non-religious;1556;2010;27826;;;;;
SecularStudents;English;Non-religious;21677;2009;24821;;;;;
HumanistsInt;English;Non-religious;17173;2009;20789;;;;;
vjack;English;Non-religious;47116;2008;20654;;;;;
AtheistMedia;English;Non-religious;2009;2008;17587;;;;;
IndianAtheists;English;Non-religious;3283;2010;14884;;;;;
UAAR_it;Italian;Non-religious;34437;2009;13060;;;;;
AtheistAus;English;Non-religious;12251;2009;11968;;;;;
atheistie;English;Non-religious;32204;2009;10227;;;;;
HappyAtheist;English;Non-religious;8301;2009;8386;;;;;
FFBAtheists;English;Non-religious;1967;2020;8308;;;;;
ProgAtheistsInc;English;Non-religious;18000;2013;7700;;;;;
AtheistsRead;English;Non-religious;23159;2018;7507;;;;;
AtheistsInKenya;English;Non-religious;14134;2014;7475;;;;;
HarvardHumanist;English;Non-religious;5022;2010;7373;;;;;
BNonbelievers;English;Non-religious;2506;2012;6522;;;;;
EU_Humanists;English;Non-religious;2192;2013;6133;;;;;
UngodlyAtheism;English;Non-religious;30378;2017;6023;;;;;
AtheistBus;English;Non-religious;364;2009;5703;;;;;
AtheistsLiberty;English;Non-religious;1216;2020;4626;;;;;
humanistsociety;English;Non-religious;7749;2010;4388;;;;;
tgiatheist;English;Non-religious;2667;2011;4153;;;;;
GlobalAtheist;English;Non-religious;50894;2009;3914;;;;;
ardentatheists;English;Non-religious;5384;2011;3721;;;;;
iaatheists;English;Non-religious;1568;2020;3624;;;;;
PakistaniAA;English;Non-religious;1342;2011;3524;;;;;
HumanismIreland;English;Non-religious;2724;2009;3429;;;;;
HumanistStudent;English;Non-religious;4664;2010;3233;;;;;
AtheismUK;English;Non-religious;2824;2011;3109;;;;;
anatheistblog;English;Non-religious;1159;2010;3087;;;;;
abhumanists;English;Non-religious;4168;2012;3060;;;;;
anatheistnews;English;Non-religious;6829;2009;3001;;;;;
ExMuslimsOfNZ;English;Non-religious;1301;2018;2941;;;;;
AtheistHitSquad;English;Non-religious;7182;2009;2932;;;;;
ex_africa;English;Non-religious;1288;1288;2860;;;;;
YoungHumanists;English;Non-religious;2565;2014;2784;;;;;
LabourHumanists;English;Non-religious;3647;2009;2717;;;;;
BASSatCal;English;Non-religious;278;2015;2682;;;;;
LondonHumanists;English;Non-religious;2482;2010;2648;;;;;
AtheistMatch;English;Non-religious;55315;2015;2614;;;;;
HumanismEdu;English;Non-religious;2450;2015;2558;;;;;
HumanistNN;English;Non-religious;32548;2012;2434;;;;;
MidEastAtheists;English;Non-religious;54;2014;2321;;;;;
AtheistNg;English;Non-religious;682;2017;2260;;;;;
prolifehumanist;English;Non-religious;1626;2012;2229;;;;;
Ceremonies_UK;English;Non-religious;3970;2012;2199;;;;;
AtheistVoices;English;Non-religious;445;2013;2175;;;;;
LGBTQHumanists;English;Non-religious;2718;2010;2161;;;;;
ApostateAfrican;English;Non-religious;10526;2020;2156;;;;;
YoungHumanIntl;English;Non-religious;2205;2009;2143;;;;;
brumhums;English;Non-religious;7286;2010;2122;;;;;
NoReligionIndo;English;Non-religious;980;2020;2112;;;;;
darkatheist;English;Non-religious;4897;2012;2105;;;;;
TSH_News;English;Non-religious;906;2014;1998;;;;;
atheists4xmas;English;Non-religious;1882;2017;1994;;;;;
Humanists_Aus;English;Non-religious;277;2021;1948;;;;;
jaxfreethought;English;Non-religious;601;2019;1796;;;;;
BCHumanist;English;Non-religious;8228;2012;1787;;;;;
Atheist_TV;English;Non-religious;229;2014;1783;;;;;
AHAustralia;English;Non-religious;2013;2014;1735;;;;;
aahumanism;English;Non-religious;590;2012;1624;;;;;
AtheismResource;English;Non-religious;11157;2010;1614;;;;;
SELnHumanists;English;Non-religious;2389;2012;1564;;;;;
NIhumanists;English;Non-religious;897;2016;1500;;;;;
WeAreAtheism;English;Non-religious;3773;2011;1481;;;;;
DamnedAtheists;English;Non-religious;67585;2009;1476;;;;;
Dhumanists;English;Non-religious;1973;2012;1470;;;;;
HUUmanistsAssoc;English;Non-religious;1535;2013;1451;;;;;
HumanismSpeaks;English;Non-religious;2831;2014;1439;;;;;
atheistolizer;English;Non-religious;75826;2014;1430;;;;;
AthMemeStkrm;English;Non-religious;122;2020;1404;;;;;
Black_Atheists;English;Non-religious;17713;2008;1385;;;;;
HumanistOhio;English;Non-religious;5625;2009;1368;;;;;
GshmFTW;English;Non-religious;16667;2012;1364;;;;;
HumanistChoir;English;Non-religious;2201;2012;1356;;;;;
HumanistsGH;English;Non-religious;1516;2014;1295;;;;;
humanism2014;English;Non-religious;1757;2013;1284;;;;;
AtheistFeedz;English;Non-religious;125441;2011;1248;;;;;
TweetsOfAtheism;English;Non-religious;4048;2012;1229;;;;;
heaven_atheist;English;Non-religious;10314;2016;1222;;;;;
AXPliveshow;English;Non-religious;179;2021;1219;;;;;
AtheistEdge;English;Non-religious;4094;2017;1204;;;;;
ExHinduAtheist;English;Non-religious;405;2021;1185;;;;;
NEHumanists;English;Non-religious;1077;2009;1179;;;;;
AtheistOK;English;Non-religious;4174;2009;1175;;;;;
AtheistDiscord;English;Non-religious;1583;2020;1162;;;;;
famousatheists;English;Non-religious;913;2011;1156;;;;;
dorsethumanists;English;Non-religious;976;2011;1113;;;;;
Humanists4Biden;English;Non-religious;291;2020;1110;;;;;
AtheistsTalk;English;Non-religious;2408;2012;1104;;;;;
CDFHumanists;English;Non-religious;1433;2010;1100;;;;;
YaleHumanists;English;Non-religious;1137;2013;1097;;;;;
nyc_atheists;English;Non-religious;22066;2009;1075;;;;;
HumanismProject;English;Non-religious;1704;2020;1068;;;;;
Humanistco;English;Non-religious;2129;2014;1059;;;;;
MNAtheists;English;Non-religious;1317;2009;1026;;;;;
CanAtheist;English;Non-religious;6017;2010;1006;;;;;
militaryatheist;English;Non-religious;4372;2011;990;;;;;
LivHumanists;English;Non-religious;1217;2010;976;;;;;
AtheistsOfUtah;English;Non-religious;1594;2011;975;;;;;
GMHumanists;English;Non-religious;7286;2013;973;;;;;
